"","redu","sex","mar","birco","freq"
"1",2,1,0,1,347
"2",2,1,0,2,136
"3",2,1,0,3,119
"4",2,1,0,4,110
"5",2,1,0,5,27
"6",2,1,1,1,550
"7",2,1,1,2,314
"8",2,1,1,3,249
"9",2,1,1,4,161
"10",2,1,1,5,11
"11",2,2,0,1,439
"12",2,2,0,2,171
"13",2,2,0,3,159
"14",2,2,0,4,115
"15",2,2,0,5,69
"16",2,2,1,1,577
"17",2,2,1,2,433
"18",2,2,1,3,784
"19",2,2,1,4,512
"20",2,2,1,5,187
"21",3,1,0,1,27
"22",3,1,0,2,16
"23",3,1,0,3,32
"24",3,1,0,4,44
"25",3,1,0,5,10
"26",3,1,1,1,43
"27",3,1,1,2,45
"28",3,1,1,3,63
"29",3,1,1,4,45
"30",3,1,1,5,7
"31",3,2,0,1,68
"32",3,2,0,2,82
"33",3,2,0,3,123
"34",3,2,0,4,125
"35",3,2,0,5,73
"36",3,2,1,1,80
"37",3,2,1,2,201
"38",3,2,1,3,641
"39",3,2,1,4,529
"40",3,2,1,5,212
"41",4,1,0,1,71
"42",4,1,0,2,76
"43",4,1,0,3,52
"44",4,1,0,4,45
"45",4,1,0,5,6
"46",4,1,1,1,119
"47",4,1,1,2,109
"48",4,1,1,3,107
"49",4,1,1,4,53
"50",4,1,1,5,8
"51",4,2,0,1,15
"52",4,2,0,2,34
"53",4,2,0,3,30
"54",4,2,0,4,41
"55",4,2,0,5,25
"56",4,2,1,1,20
"57",4,2,1,2,48
"58",4,2,1,3,109
"59",4,2,1,4,128
"60",4,2,1,5,77
"61",5,1,0,1,42
"62",5,1,0,2,52
"63",5,1,0,3,51
"64",5,1,0,4,35
"65",5,1,0,5,3
"66",5,1,1,1,59
"67",5,1,1,2,82
"68",5,1,1,3,88
"69",5,1,1,4,43
"70",5,1,1,5,4
"71",5,2,0,1,2
"72",5,2,0,2,4
"73",5,2,0,3,14
"74",5,2,0,4,12
"75",5,2,0,5,9
"76",5,2,1,1,5
"77",5,2,1,2,10
"78",5,2,1,3,34
"79",5,2,1,4,46
"80",5,2,1,5,53
"81",6,1,0,1,26
"82",6,1,0,2,11
"83",6,1,0,3,13
"84",6,1,0,4,9
"85",6,1,1,1,30
"86",6,1,1,2,21
"87",6,1,1,3,20
"88",6,1,1,4,7
"89",6,1,1,5,2
"90",6,2,0,1,9
"91",6,2,0,2,7
"92",6,2,0,3,10
"93",6,2,0,4,8
"94",6,2,0,5,6
"95",6,2,1,1,9
"96",6,2,1,2,18
"97",6,2,1,3,49
"98",6,2,1,4,42
"99",6,2,1,5,42
