d_jhps,HusEdu,WifEdu,marco,weighted,unweighted
1,2,2,1,846.289840487017,834
2,2,2,1,119.9581848835959,113
1,3,2,1,87.63690633125373,67
2,3,2,1,22.55117564392893,23
1,4,2,1,143.1526312555797,112
2,4,2,1,5.454558478610728,5
1,5,2,1,79.29658847167747,64
2,5,2,1,15.21923858767586,16
1,6,2,1,20.38447413441414,16
2,6,2,1,3.991459059397151,4
1,2,3,1,149.8905138966165,131
2,2,3,1,55.77946427892995,40
1,3,3,1,57.44229413449386,41
2,3,3,1,21.47797637367304,17
1,4,3,1,135.5913482535949,100
2,4,3,1,8.045784455329379,5
1,5,3,1,105.0045261466214,77
2,5,3,1,31.74468941913259,21
1,6,3,1,19.95736714661056,14
2,6,3,1,4.56810906891492,4
1,2,4,1,7.747727029497717,7
2,2,4,1,1.623534605867776,2
1,3,4,1,4.208165125159906,2
2,3,4,1,0,0
1,4,4,1,62.62399797669801,43
2,4,4,1,0,0
1,5,4,1,24.01778055512093,19
2,5,4,1,4.923507562923352,4
1,6,4,1,12.44286278818998,9
2,6,4,1,1.63329817622415,1
1,2,5,1,0,0
2,2,5,1,0,0
1,3,5,1,2.659336008170079,2
2,3,5,1,0,0
1,4,5,1,0,0
2,4,5,1,1.429652939749388,1
1,5,5,1,12.47948634952885,9
2,5,5,1,2.856135976170695,2
1,6,5,1,3.131267503930597,2
2,6,5,1,0,0
1,2,6,1,7.96732181023673,6
2,2,6,1,0,0
1,3,6,1,0,0
2,3,6,1,0,0
1,4,6,1,9.430512329754329,6
2,4,6,1,2.477831963030263,2
1,5,6,1,14.00124859064509,10
2,5,6,1,0,0
1,6,6,1,7.433930525999284,5
2,6,6,1,0,0
1,2,2,2,507.889467893208,509
2,2,2,2,436.5199529637662,398
1,3,2,2,96.25783162281793,79
2,3,2,2,123.6643873545516,118
1,4,2,2,119.2570498169824,97
2,4,2,2,14.00476066364639,15
1,5,2,2,77.58624026521635,65
2,5,2,2,78.55867465080465,76
1,6,2,2,13.97369072948493,11
2,6,2,2,26.07048175600472,25
1,2,3,2,227.1998343589783,204
2,2,3,2,275.4524439161291,200
1,3,3,2,137.2383446165228,99
2,3,3,2,149.8471313019899,108
1,4,3,2,188.8206746567787,135
2,4,3,2,45.80751758075205,31
1,5,3,2,158.615464684134,113
2,5,3,2,207.4359564728897,155
1,6,3,2,38.37709905271385,29
2,6,3,2,66.20331647913879,51
1,2,4,2,30.3082520207877,25
2,2,4,2,9.483966018453234,7
1,3,4,2,11.65647353630636,8
2,3,4,2,16.19193654788412,11
1,4,4,2,108.7359828582669,78
2,4,4,2,21.73058554400601,18
1,5,4,2,56.08615653800103,39
2,5,4,2,35.63408736523925,27
1,6,4,2,12.67583099523941,10
2,6,4,2,20.65133704024322,17
1,2,5,2,3.153476415609608,3
2,2,5,2,6.717822837984874,5
1,3,5,2,2.51488077336921,2
2,3,5,2,3.918408118772083,3
1,4,5,2,4.520586232733878,3
2,4,5,2,5.234932415685005,4
1,5,5,2,16.00768857418706,10
2,5,5,2,22.37016914520452,20
1,6,5,2,2.656711854403092,2
2,6,5,2,11.12284900604294,9
1,2,6,2,6.0121445951989,5
2,2,6,2,3.357047891798574,3
1,3,6,2,3.167300537377155,2
2,3,6,2,3.996857208530759,3
1,4,6,2,17.76952457772649,12
2,4,6,2,1.471084663045982,1
1,5,6,2,21.74871395423116,15
2,5,6,2,5.658889675732285,5
1,6,6,2,18.72264358008868,12
2,6,6,2,36.23084150345245,28
1,2,2,3,163.2045453392765,188
2,2,2,3,165.3764721433756,161
1,3,2,3,58.2846754601116,50
2,3,2,3,64.98326620518925,60
1,4,2,3,36.16901703203862,33
2,4,2,3,11.97625977341779,11
1,5,2,3,19.61257701651423,20
2,5,2,3,27.56683501886897,27
1,6,2,3,4.667697629591217,5
2,6,2,3,11.14873364738437,12
1,2,3,3,122.3461289860515,125
2,2,3,3,158.6487735616682,137
1,3,3,3,88.8722655217174,73
2,3,3,3,119.6174824369792,107
1,4,3,3,83.37797988985238,72
2,4,3,3,34.06479067842064,31
1,5,3,3,52.14355958622479,45
2,5,3,3,99.27842456026133,88
1,6,3,3,15.87995815497909,12
2,6,3,3,52.84869883098838,49
1,2,4,3,14.7728278777725,16
2,2,4,3,16.66026019470963,14
1,3,4,3,14.5889917968381,12
2,3,4,3,25.62373749950146,19
1,4,4,3,65.22638809930439,55
2,4,4,3,26.81702275037598,18
1,5,4,3,45.84232852695737,38
2,5,4,3,77.94424202036303,58
1,6,4,3,11.95608018760485,10
2,6,4,3,29.88454467200791,24
1,2,5,3,2.913807466185549,3
2,2,5,3,10.60633996080205,7
1,3,5,3,3.459211875775861,2
2,3,5,3,13.65354195815071,11
1,4,5,3,2.778165186129516,3
2,4,5,3,11.80705085978925,9
1,5,5,3,21.76698685745253,18
2,5,5,3,53.2069348334952,43
1,6,5,3,0,0
2,6,5,3,13.50375453211231,12
1,2,6,3,6.316961705581033,7
2,2,6,3,9.910726753241223,7
1,3,6,3,2.075469753891796,2
2,3,6,3,15.49418841010739,12
1,4,6,3,7.355542886163108,7
2,4,6,3,6.043583186764938,5
1,5,6,3,11.01621608097205,9
2,5,6,3,21.97337922923462,14
1,6,6,3,13.12580974366209,11
2,6,6,3,38.3983239595104,29
