"","model","g_sq","df","id","bic"
"1","M1",1490.36138325432,48,0.187887876238836,1070.96365905189
"2","M2",192.913644594778,45,0.0443718143944604,-200.271721844999
"3","M3",35.3166975973319,26,0.0172063478769588,-191.857069678983
"4","M4",184.81337280743,43,0.0389589254613829,-190.897088457245
"5","M5",71.7999982173102,42,0.0313389884696884,-295.173010459814
"6","M6",310.547819473749,43,0.0621552028609416,-65.1626417909266
"7","M7",137.390525132256,44,0.0494466936181149,-247.057388719969
"8","M8",47.909931085615,32,0.0282951383233336,-231.688551716004
"9","M9",21.9125008642482,20,0.010322324232604,-152.836550886763
"10","M10",23.4956061605894,22,0.0107151160708961,-168.728350765523
"11","M11",29.8475566035416,24,0.015821139640727,-179.851305497672
"12","M12",65.0583091043371,40,0.0267639204639997,-284.439794397686
"13","M13",302.362089545004,41,0.0580831967613771,-55.87346654457
"14","M14",125.373914420927,42,0.0422057155440152,-241.599094256197
"15","M15",39.360832732646,30,0.0213716523044309,-222.762744893872
